x,y
2286.6506,1676.1603
1510.1316,2284.5
200.79492,3193.0
915.0,3097.4102
3927.0,1536.0
1830.4135,3948.8108
2166.4326,483.23413
3921.1152,1989.6506
87.29492,870.7276
3305.0703,1423.0
58.134666,3934.6794
3226.5,3919.0095
590.0,1760.0
1024.2275,106.246826
1306.1506,3863.9583
1576.9135,688.8397
3878.4102,3346.0
866.63464,909.7468
3940.5,52.426315
3327.4102,3262.3203
3013.0735,2111.5
3893.9712,3943.5
3040.2725,667.2949
99.5,328.34937
1831.9135,77.160255
2557.6797,101.79492
3028.5,97.746826
2157.4583,1054.2949
53.58984,2788.0
1663.4102,3008.6602
1062.0,2280.4102
3122.2532,2653.705
2416.705,2905.8171
511.0,96.0
907.5,3945.2659
3643.4102,2323.205
3637.0,350.19238
2829.2532,1331.8397
3880.0,2927.0
2521.0,3938.6602
2887.0,3632.4102
752.0,3532.0193
3945.5,869.65063
1697.9135,1337.5
2085.205,2516.0
87.0,1842.0
85.339745,1302.0
2071.0,3534.0
517.0,2183.0
1067.5671,1733.0063
