x,y
2852.0,3254.0
616.99036,483.5
3944.3235,1853.9102
3299.3623,1066.0675
2136.0,344.13467
3454.968,652.9327
3416.718,82.38476
3792.8013,2920.2725
270.38477,3016.923
1870.2949,2640.9133
993.75006,3871.2725
1698.0,1493.0
1780.0,3239.0
1356.5898,2737.0
2428.0,1064.7949
401.66025,822.7949
50.5,522.9711
3020.0898,1403.5225
1433.0,2272.5898
1705.0,898.0
3950.0,2503.0195
3936.8684,72.89746
3580.5,1407.1123
70.70527,3608.923
2825.7275,3894.5
2888.0,2528.0
50.5,1217.9712
2447.3494,2531.295
682.4263,2041.5254
502.0,3949.205
806.38477,1454.7949
992.0,3423.8008
1050.6603,96.339745
1677.3782,75.339745
3402.5,3907.9133
2197.0,2105.6602
72.06444,2425.9712
3950.0,3914.0
3321.1252,2175.0898
1152.0,670.7949
3944.7725,567.6574
3945.0,1198.0
2220.3398,3241.205
3222.0,2807.0
66.746826,1825.2114
3949.5,3360.5544
2135.0,3863.5833
2597.0,607.38477
2809.641,57.0
129.0,57.0
