x,y
3932.5,1377.6506
81.0,2110.6025
1501.0,2855.0
895.843,2468.1602
3941.6506,3885.5
3166.795,1383.0704
2861.295,2995.2532
3921.0,561.62177
3876.471,2928.5
756.6603,3905.6152
82.849365,101.471146
3629.6797,51.660255
58.5,3938.3108
2209.4102,182.0
115.839745,1106.5864
1606.6731,75.31743
56.724495,3244.1155
2100.2532,3525.1985
332.0,1488.0
1906.2725,2410.5
1383.5,3912.234
2997.0,1875.0
1772.0,944.2501
3203.5,2399.4583
1132.6025,3224.0
2321.8398,943.8303
1069.5898,92.0
492.66025,3589.0
2654.0,2414.0
1314.0,1102.0
3605.9102,825.00964
1886.8782,3901.9712
945.7051,685.97766
3786.0,1785.0
3337.795,3877.0
3799.0,2398.0
2488.0,3209.3782
518.07385,928.5
586.5,1916.3813
2434.3494,1765.0898
2520.295,3870.2532
3140.1152,243.63794
569.37823,104.0
72.20508,2604.0
3337.6602,3413.3203
1991.8848,559.65063
2598.1602,51.26626
3868.0,3424.0
3409.5,3008.2532
1345.5,1918.8298
