x,y
633.86224,53.19873
1799.4615,1632.2725
3913.6152,1586.0
1596.686,2292.0
3630.205,591.0
1612.5,3246.7468
1890.0,2788.0
94.0,2183.0
3145.0,2430.795
2354.5898,2612.0
3949.1506,3063.4712
92.3334,3343.7468
68.79492,1565.7245
972.3397,2501.6797
2268.0,602.0
3479.0,3947.2754
3947.6602,3692.6602
1214.8911,66.62832
601.1603,3928.689
2345.7468,55.089844
3277.2532,1179.545
3942.5,2423.484
2866.5,3938.2979
3185.6152,1700.0
612.88477,1354.3494
1225.1377,1008.23724
2480.7532,3825.2468
71.17949,3927.8557
1268.0,3543.0
1099.6443,1734.6123
54.0,915.28204
3682.2532,1992.7051
2777.8398,789.7276
3914.5,1060.3494
2800.0703,2028.0
2235.205,3223.795
1920.0,3817.0
3560.6409,3375.157
2395.8494,1518.5096
1688.0,61.0
89.589836,2643.6602
494.34937,753.5
2987.0,3367.6602
98.0,54.0
774.6314,3462.5
2770.5225,290.5
3941.0,73.09619
3333.0288,61.17949
1497.0,3936.0
1693.1217,608.19543
