x,y
818.99365,1622.7468
1481.5,279.11237
3268.0,3908.0
664.0,2690.4102
51.0,3476.0
1734.3784,1747.7275
3076.9937,2737.6506
3904.1602,1878.9712
1577.9102,841.4521
1697.4071,3630.705
611.0,3930.0
3915.4102,3013.0
2780.7275,1819.9102
3935.0095,101.57041
3494.8494,1951.4712
1853.5,128.34937
3099.0,3422.205
3201.1633,1073.0868
2705.3398,3197.0
453.06732,1304.8782
1330.7949,2074.6152
3937.0,1193.2501
66.0,962.0
3324.3174,113.839745
3072.5,2161.7468
3916.0,2431.795
2165.3848,3917.0
2446.9326,1194.2499
652.34937,429.83975
281.0,3125.3206
52.0,1630.7179
52.67949,68.0
1766.0,2432.0
3943.795,663.62177
2870.5,118.54175
1175.0,3946.0
3899.205,3440.0
2338.8333,120.384766
974.0,2316.3848
2324.0,2422.25
2137.0,656.0
2804.3398,3914.6152
3511.6602,2661.0
1500.5481,3098.779
65.99038,2464.5
124.339745,3933.3203
1020.9712,107.839745
497.0,884.58984
2186.0,3091.3398
3819.0,3894.0
