x,y
1813.2051,2389.6602
2494.0898,151.59293
3887.5,1831.3494
564.11523,3267.2725
2599.955,3061.0
3938.0,3001.0
2410.2532,602.9936
1804.0,895.58984
3088.8398,1721.3751
398.62506,2484.5093
139.0,1280.0
903.4711,2170.3237
138.6795,741.2051
102.51923,1978.2532
2654.0,1051.5063
1580.2659,182.83975
2219.3494,2153.5
1322.0,2660.4102
517.3397,1737.6603
2423.9646,3942.4712
1978.9296,3388.4102
2013.0,1798.2051
3946.5,3898.0288
824.6603,173.78224
2890.0225,3907.4326
1976.1346,2861.0
3126.6506,2450.423
3918.0,87.58984
698.91016,925.72754
1129.6794,537.0
1031.5288,1458.4712
3174.795,3560.205
3429.6218,162.33975
51.134666,3946.718
3266.0,964.58984
850.9327,3949.5
1639.5898,1339.1797
3602.455,2714.3398
3895.0,727.3397
75.0,3350.0
3028.561,368.88477
1399.6603,3937.8203
1898.6603,3945.0
3054.0,2901.0
70.13467,2870.0
3907.3203,1231.4552
3469.6697,3904.5
1080.5,3352.8684
2770.5,2044.2725
53.79492,54.79492
