x,y
1903.0,3054.0
53.0,3930.0
3948.0,1013.7949
3448.0,3205.3398
3478.7532,145.22758
548.1603,3941.4583
3948.205,1503.0
1019.3271,1755.0
2395.9485,3463.8943
3043.205,218.33975
3946.6602,55.589836
51.666794,2328.3398
87.746826,618.2949
1834.0,84.0
2915.3494,3936.1218
440.95517,1015.44556
3169.4102,1403.3397
92.33667,82.65391
1147.2532,1101.2949
56.5,3148.6506
1262.9646,93.08984
2228.1152,2679.6152
587.7468,2937.5
3940.0,3945.9102
3929.3398,3206.4102
3940.0703,2463.0
1194.2532,3943.9102
58.339745,1263.3782
1446.4102,2100.1602
738.7949,2088.795
1980.0,1911.9296
1691.6603,1410.3848
913.8397,3487.0608
1496.0,3585.0
1812.5,726.9519
2458.093,312.81744
3424.0,3860.0
3949.5,537.6957
1663.0,2470.5898
3303.6152,2546.0
750.1057,81.5
3012.0,3360.3398
760.7245,647.6987
2453.3203,1094.7949
2351.7468,3927.0256
2886.795,1905.5256
1372.9102,2948.9712
3653.4102,1999.0
260.68912,1795.5
1900.3206,3923.0
