x,y
3075.205,3932.0
2466.0,3948.6152
3885.0,1586.0
3540.9102,2463.439
53.98403,2851.3044
2512.2917,141.83975
2969.4102,2569.6797
1635.7468,1239.0898
1066.0192,732.0
1391.1346,2733.0
1199.7949,68.961525
3943.8652,2919.795
1468.1152,2262.311
517.0673,60.769333
421.33975,1858.0962
1555.5,727.34937
3911.0,2250.0
3932.0,795.86536
57.0,1416.7949
2335.9646,2371.0063
2685.4102,597.0
2687.0,1019.0
54.794918,2309.0
3932.6602,53.339745
1305.8397,3189.2532
2143.3398,811.6603
1951.8397,220.74683
1152.2405,3946.5
3346.7468,1149.5
52.29492,758.7468
1980.1089,3947.487
3380.5288,2036.7532
3530.5,3936.7979
775.0,3505.0
2089.3013,1921.0
602.3397,2743.0
2818.218,3320.702
1544.3397,1817.0
1780.0,3114.0
2379.205,3489.0
3424.5,702.2532
532.0,834.2051
69.272415,3934.4229
3215.202,143.83975
619.2051,3942.6602
3935.705,3935.0095
61.2499,60.272415
2682.8398,1810.6506
892.15063,1267.2275
3031.6506,1414.5
