x,y
2484.0,1669.0704
1550.5802,2836.3652
1321.4456,3932.5
673.58984,3949.0
440.4392,2685.2468
3029.1892,1378.5288
3942.6506,87.54502
1083.3848,2317.0
560.7468,986.99365
2550.266,3937.7532
949.0,1666.6603
3944.6602,726.6603
2328.2468,964.657
120.0,2177.5254
67.0,539.0
3357.0,90.660255
3415.0,2549.0
2956.9102,2392.843
886.0,102.67949
1904.8684,2206.7244
1000.0,835.38477
3687.7468,3941.0063
3509.5,1929.9327
2376.0,2282.795
1980.1891,3935.1506
3942.0,2753.045
1348.3975,1438.0
57.650635,1175.1603
2712.205,497.0
2173.2756,62.253174
3440.6602,638.6603
166.0,3947.4102
782.3397,3247.0254
72.512886,3403.5256
1599.8782,130.34937
2873.0,947.6603
1880.3397,1545.0
3553.6152,3185.0
2711.0,67.589836
3088.0,3922.6152
2761.3782,3282.795
3940.6602,3503.0
1883.2628,3410.8652
1250.0288,419.70508
3903.3398,1698.0
74.0,52.660255
276.75317,1721.0929
2464.9456,2795.8557
1687.0,586.0
650.0,2163.0
