x,y
3708.452735,1372.280357
1230.432275,2102.624594
2650.697017,3021.139102
2676.691922,516.1913989
470.5247494,1187.604814
1428.939608,3922.533923
3276.205202,697.4573667
3007.932366,1135.958507
949.4616279,2597.233806
1525.950929,414.3858317
2445.019874,3845.908726
374.2018464,1995.911581
581.3228531,3290.843492
906.6984954,3805.890842
1673.341218,887.9347415
2016.879657,3234.765868
1248.797379,1397.226966
328.6602381,3674.319208
3253.298801,2985.546294
1353.015751,3297.724607
2542.375856,2084.017312
2028.004256,664.0828564
1724.035999,1754.895727
3869.687099,252.9673222
3600.612704,3800.494774
2813.118368,3395.980325
60.50670939,1125.082705
2433.001784,1492.300266
3008.8627,1717.932484
3410.154583,1802.808774
3512.701317,2395.152143
2993.268593,2217.255289
906.9483561,180.5305007
3687.986209,612.8798606
1841.156971,159.4274245
1208.333156,950.4425232
3776.790618,2061.553688
2242.035095,193.412256
828.0037524,679.4452172
998.6051808,3105.710667
1759.295568,2871.122913
3943.181163,3541.725987
3318.019681,3402.053874
431.0086753,2708.484117
2407.62015,914.1557856
1342.375828,2702.9442
2006.577327,1404.924467
239.5803561,370.6392213
3156.69082,266.7476839
65.12416578,3125.891246
